city,name,adress,Google Plus-Code,longitude,latitude
Barcelona,CREC Coworking Barcelona Poble Sec,"C/ de Blesa, 27, 08004 Barcelona, Spanien","95C9+R9 Barcelona, Spanien",4137203,2168472
Barcelona,Aticco Urquinaona - Coworking en Eixample,"Rda. de Sant Pere, 52, 08010 Barcelona, Spanien","95RG+3J Barcelona, Spanien",4139017,2176631
Barcelona,PAU,"Rda. de Sant Pau, 47, 08015 Barcelona, Spanien","95G7+VW Barcelona, Spanien",4137717,2164855
Barcelona,Start2bee Coworking & Events Space,"C/ de l'Escorial, 180, 08024 Barcelona, Spanien","C565+97 Barcelona, Spanien",4141092,2158055
Barcelona,Talent Garden Barcelona,"C/ de Ramon Turró, 169, A, 08005 Barcelona, Spanien","96X2+HC Barcelona, Spanien",4139885,2201014
Barcelona,CREC Coworking Eixample,"Gran Via de les Corts Catalanes, 672, 08010 Barcelona, Spanien","95RC+QR Barcelona, Spanien",4139189,2172057
Barcelona,GARDEN :: coworking space + atelier,"Carrer del Planeta, 12, 08012 Barcelona, Spanien","C524+HF Barcelona, Spanien",4140143,2156139
Barcelona,Coworking Transforma bcn,"C/ del Consell de Cent, 394, 08009 Barcelona, Spanien","95WF+93 Barcelona, Spanien",4139596,2172734
Barcelona,Cwork Coworking Barcelona,"C/ de Provença, 555, 08026 Barcelona, Spanien","C55J+P8 Barcelona, Spanien",4140926,2180812
Barcelona,CREC Coworking Gràcia - Depot Lab Barcelona,"Carrer de Joaquim Ruyra, 9, 11, 08025 Barcelona, Spanien","C547+9G Barcelona, Spanien",4140594,2163867
Barcelona,Coworking RavalCo - Peaceful Coworking (24/7 for members),"C/ de Sant Vicenç, 21, 08001 Barcelona, Spanien","95J7+FX Barcelona, Spanien",4138122,2164982
Barcelona,MAUI Beach Coworking,"Carrer del Perelló, 74, 08005 Barcelona, Spanien","96X4+22 Barcelona, Spanien",4139760,2205048
Barcelona,Coworking en Barcelona - Coworking Platon,"C/ de Balmes, 177, 08006 Barcelona, Spanien","95W3+F8 Barcelona, Spanien",4139623,2153267
Barcelona,Itnig Spaces,"C. de Pujades, 100, 08005 Barcelona, Spanien","95WV+HM Barcelona, Spanien",4139643,2194160
Barcelona,Cloudworks Passeig de Gràcia,"Gran Via de les Corts Catalanes, 613, 1era planta, 08007 Barcelona, Spanien","95R9+49 Barcelona, Spanien",4139032,2168469
Barcelona,The Office Coworking Barcelona,"Carrer Calàbria 149, entresol 1a, 08015 Barcelona, Spanien","95J2+QP Barcelona, Spanien",4138192,2151864
Barcelona,Coworking LOOM Glòries,"Av. Diagonal, 211, 08018 Barcelona, Spanien","C53Q+9R Barcelona, Spanien",4140338,2189535
Barcelona,Kubik Barcelona,"C/ de Luis Antúnez, 6, 08006 Barcelona, Spanien","95X4+G8 Barcelona, Spanien",4139876,2155835
